Name,Profile URL,Joined,Location,Market,Website,Employees,Stage,Total Raised
LoanSnap,https://angel.co/company/loansnap,Mar '17,Costa Mesa,Fin Tech,https://www.goloansnap.com,51-200,Series A,17000000
Plume Labs,https://angel.co/company/plume-labs,Feb '17,San Francisco,Consumer Electronics,https://plumelabs.com,11-50,Seed,4500000
ZenSports,https://angel.co/company/zensports,Feb '17,San Francisco,Blockchain / Cryptocurrency,http://zensports.com/,1-10,"",1787850
Allset (backed by a16z),https://angel.co/company/allset,Feb '17,San Francisco,Restaurants,https://allsetnow.com,11-50,"",3315000
MakerSights,https://angel.co/company/makersights,Jan '17,Austin,Retail Technology,https://makersights.com/,11-50,Series A,11600000
Secfi,https://angel.co/company/secfi,Jan '17,San Francisco,Technology,https://www.secfi.com,11-50,Series A,7000000
Shift,https://angel.co/company/shiftorg,Dec '16,San Francisco,Recruiting,http://shift.org,11-50,"",4500000
Goin,https://angel.co/company/goinrides,Dec '16,Phoenix,Social Travel,http://goin.org,11-50,Seed,1200000
NanoNets,https://angel.co/company/nanonets,Nov '16,San Francisco,Big Data,http://nanonets.ai,11-50,Seed,1620000
MonkeyLearn,https://angel.co/company/monkeylearn,Nov '16,Montevideo,Developer APIs,https://monkeylearn.com,11-50,"",3235000
Cleo,https://angel.co/company/hicleo,Oct '16,San Francisco,Women-Focused,http://hicleo.com,11-50,Series B,40947605
Crossing Minds,https://angel.co/company/crossing-minds,Oct '16,San Francisco,Reviews and Recommendations,https://www.crossingminds.com/,11-50,Seed,4000000
Tophatter,https://angel.co/company/tophatter-2,Oct '16,Palo Alto,E-Commerce Platforms,http://tophatter.com,51-200,Series A,13000000
Yours,https://angel.co/company/yoursnetwork,Oct '16,San Francisco,Blockchains,https://www.yours.org,1-10,Seed,1677500
Joy,https://angel.co/company/withjoy,Sep '16,San Francisco,Weddings,https://withjoy.com/,11-50,Seed,4500000
Rapidly,https://angel.co/company/rapidlyinc,Sep '16,San Francisco,Finance Technology,http://www.rapidly.co,1-10,Seed,2950000
LucidLink,https://angel.co/company/lucid-link,Sep '16,San Francisco,File Sharing,http://www.lucidlink.com,11-50,Seed,6600000
Shaper,https://angel.co/company/shapertools,Aug '16,San Francisco,Robotics,https://www.shapertools.com,11-50,"",13300000
Seneca Systems,https://angel.co/company/seneca-systems,Aug '16,Redwood City,Governments,http://seneca.systems/,11-50,Seed,3500000
Raised Real,https://angel.co/company/raisedreal,Aug '16,Remote,Baby And Kids,http://raisedreal.com,1-10,Seed,5000000
iBeat,https://angel.co/company/ibeat,Aug '16,San Francisco,Consumer Electronics,http://www.ibeat.com,11-50,Seed,10500000
OKCoin,https://angel.co/company/okcoin,Jul '16,San Francisco,Blockchains,http://okcoin.com,501-1000,"",10000000
Genos Research,https://angel.co/company/genos-research,Jun '16,San Francisco,Genomics,https://www.genosresearch.com,11-50,Acquired,6000000
Simpo,https://angel.co/company/simpoio,Jun '16,San Francisco,SaaS,https://www.simpo.io/,1-10,Seed,4500000
Zero,https://angel.co/company/zero-8,Jun '16,San Francisco,Credit Cards,https://zero.app,11-50,Series A,31000000
Octane AI,https://angel.co/company/octane-ai,Jun '16,Austin,Messaging,http://www.octaneai.com,11-50,Seed,3000000
Spaceknow,https://angel.co/company/spaceknow,Jun '16,San Francisco,Defense,http://www.spaceknow.com,11-50,Series A,4000000
Upcall (YC W17),https://angel.co/company/upcall,May '16,San Francisco,B2B,http://www.upcall.com,11-50,"",2200000
TAXA Biotechnologies,https://angel.co/company/taxa-bio,May '16,San Francisco,Synthetic Biology,http://www.taxa.com,1-10,"",1236820
Republic,https://angel.co/company/republic,May '16,San Francisco,Crowdfunding,https://republic.co,11-50,"",14500000
OccamzRazor,https://angel.co/company/occamzrazor,May '16,San Francisco,Neuroscience,http://www.occamzrazor.com,1-10,Seed,4500000
Catch,https://angel.co/company/catchco,Apr '16,San Francisco,Freelancers,http://catch.co,11-50,Seed,8100000
Spot.com,https://angel.co/company/spot-com,Apr '16,San Francisco,Social Travel,http://spot.com,1-10,Seed,2000000
Lygos,https://angel.co/company/lygos,Apr '16,Emeryville,Advanced Materials,http://www.lygos.com,11-50,"",28500000
HyperTrack,https://angel.co/company/hypertrack,Apr '16,San Francisco,Location Based Services,https://www.hypertrack.com,11-50,Seed,8500000
Merit,https://angel.co/company/sigma-certified,Apr '16,Millbrae,Internet,https://www.merits.com/,11-50,Seed,4300000
Homeroom,https://angel.co/company/joinhomeroom,Apr '16,San Francisco,Families,http://www.homeroom.com/,1-10,Seed,3760000
Stella,https://angel.co/company/stella-ai,Mar '16,San Francisco,Artificial Intelligence,http://stella.ai,11-50,"",10000000
Ario,https://angel.co/company/ario,Mar '16,Seattle,Consumer Electronics,http://arioliving.com,1-10,"",1500000
Lightning Labs,https://angel.co/company/lightning,Mar '16,San Francisco,Open Source,http://lightning.engineering,11-50,Seed,2500000
Prophecy.io,https://angel.co/company/prophecy-io,Mar '16,San Francisco,Predictive Analytics,https://prophecy.io/,1-10,Seed,2700000
Zenysis,https://angel.co/company/zenysis,Mar '16,San Francisco,International Development,http://www.zenysis.com/,11-50,Series A,8003365
Sleeper,https://angel.co/company/sleeperhq,Mar '16,San Francisco,Chat,https://sleeper.app,11-50,Series A,7300000
FutureFuel.io,https://angel.co/company/futurefuel,Feb '16,Baltimore,Employer Benefits Programs,http://www.futurefuel.io,11-50,"",15685000
Qordoba,https://angel.co/company/qordoba,Feb '16,San Francisco,SaaS,http://qordoba.com,11-50,Series B,19500000
Alloy,https://angel.co/company/alloytech,Feb '16,Vancouver,Supply Chain Management,https://alloy.ai,11-50,Series A,12000000
Trim,https://angel.co/company/trim-1,Feb '16,San Francisco,Finance Technology,https://www.asktrim.com/,11-50,"",2200000
Nirmidas Biotech,https://angel.co/company/nirmidas-biotech,Feb '16,Palo Alto,Diagnostics,http://www.nirmidas.com,1-10,Series A,7000000
Vocate,https://angel.co/company/vocate,Dec '15,San Francisco,"",http://www.Vocate.me,11-50,"",3000000
Darkstore,https://angel.co/company/darkstore,Dec '15,San Francisco,Supply Chain Management,https://www.darkstore.com/,1-10,Series A,9170000
Origin,https://angel.co/company/originlabs,Nov '15,San Francisco,Manufacturing,http://www.origin.io,11-50,Seed,12300000
Prodigy,https://angel.co/company/prodigy,Nov '15,San Francisco,SaaS,https://getprodigy.com/,11-50,Series A,14400000
Starsky Robotics,https://angel.co/company/starsky-robotics,Nov '15,San Francisco,Robotics,https://www.starsky.io/,51-200,Series A,20250000
Agent IQ,https://angel.co/company/agent-iq,Nov '15,San Francisco,Customer Service,http://agentiq.com,11-50,Series A,8500000
Sevenhugs,https://angel.co/company/sevenhugs,Oct '15,San Francisco,Consumer Electronics,https://sevenhugs.com,51-200,Series A,16350000
Alto,https://angel.co/company/alto,Oct '15,San Francisco,Startups,https://alto.com/,51-200,Series C,73000000
Payment Rails,https://angel.co/company/paymentrails,Sep '15,Sydney,Fin Tech,https://www.paymentrails.com,11-50,Seed,2000000
SenStay,https://angel.co/company/senstay,Sep '15,Santa Monica,Property Management,http://www.senstay.com,11-50,"",5000000
Scooterson,https://angel.co/company/scooterson,Sep '15,Singapore,Urban Mobility,http://scooterson.com,11-50,"",2750000
Stilt,https://angel.co/company/stilt,Aug '15,Remote,Consumer Lending,https://www.stilt.com/,11-50,"",2920000
Lemonaid Health,https://angel.co/company/lemonaid-health,Aug '15,San Francisco,Mobile Health,http://www.lemonaid.com,11-50,Series A,17600000
Cola,https://angel.co/company/cola,Aug '15,San Francisco,Messaging,http://cola.io,1-10,Acquired,1300000
Scoutible,https://angel.co/company/scoutible,Jul '15,San Francisco,Neuroscience,http://scoutible.com,1-10,Seed,5000000
Buoyant,https://angel.co/company/buoyant,Jul '15,San Francisco,Startups,http://buoyant.io,11-50,Seed,14000000
